语言1名称1	语言1名称2	语言2名称1	语言2名称2	语言3名称1	语言3名称2
内向的	克拉伦斯	內向的	克雷爾	John	Tipum
年轻的	克拉克	年輕的	克拉倫斯	Jonas	Traman
努力的	克劳德	努力的	克拉克	Jonathan	Tranchil
漂亮的	克莱蒙德	漂亮的	克勞德	Joseph	Travis
平淡的	克利夫兰	平淡的	克萊蒙德	Joshua	Urbum
平等的	克里夫	平等的	克利夫蘭	Joyce	Vendej
平和的	克利福德	平和的	克裡夫	Julian	Verdajh
天仙的	克莱德	天仙的	柯利弗德	Julius	
俏丽的	柯尔贝尔	俏麗的	克萊德	Justin	
勤劳的	科尔比	勤勞的	柯爾貝爾	Keith	
轻率的	科林	輕率的	科爾比	Kelly	
轻松的	康拉德	輕鬆的	科林	Ken	
清楚的	科里	清楚的	康拉德	Kennedy	
清净的	科尼留斯	清淨的	寇里	Kenneth	
热情的	科内尔	熱情的	科尼留斯	Kent	
任性的	克雷格	任性的	科內爾	Kerr	
大度的	柯蒂斯	大度的	克雷格	Kerwin	
柔弱的	希瑞尔	柔弱的	柯帝士	Kevin	
善变的	戴纳	善變的	希瑞爾	Kim	
善良的	丹尼尔	善良的	戴納	King	
舒服的	达西	舒服的	丹尼爾	Kirk	
舒心的	达内尔	舒心的	達西	Kyle	
爽朗的	达伦	爽朗的	達尼爾	Lambert	
顺从的	戴夫	順從的	達倫	Lance	
顺服的	大卫	順服的	戴夫	Larry	
通俗的	迪安	通俗的	大衛	Lawrence	
随和的	邓普西	隨和的	迪安	Leif	
坦率的	丹尼斯	坦率的	鄧蒲賽	Len	
坦然的	德里克	坦然的	鄧尼斯	Lennon	
沉醉的	德文	沉醉的	德里克	Leo	
淘气的	迪克	淘氣的	德文	Leonard	
体贴的	多米尼克	體貼的	迪克	Leopold	
天真的	唐	天真的	多明尼克	Les	
甜美的	多纳休	甜美的	唐	Lester	
甜蜜的	唐纳德	甜蜜的	多納休	Levi	
调皮的	道格拉斯	調皮的	唐納德	Lewis	
正直的	杜鲁	正直的	道格拉斯	Lionel	
团结的	杜克	團結的	杜魯	Lou	
外向的	邓肯	外向的	杜克	Louis	
顽皮的	邓恩	頑皮的	鄧肯	Lucien	
伟大的	德怀特	偉大的	鄧恩	Luther	
温和的	迪伦	溫和的	德懷特	Lyle	
温暖的	厄尔	溫暖的	狄倫	Lyndon	
温柔的	艾德	溫柔的	厄爾	Lynn	
温润的	伊登	溫潤的	艾德	Magee	
文静的	艾德加	文靜的	伊登	Malcolm	
文雅的	艾德蒙	文雅的	艾德加	Mandel	
稳重的	爱迪生	穩重的	艾德蒙	Marcus	
自在的	爱德华	自在的	愛迪生	Marico	
无畏的	埃德温	無畏的	愛德華	Mark	
无邪的	埃格伯特	無邪的	愛德溫	Marlon	
妩媚的	伊莱	嫵媚的	埃格伯特	Marsh	
武断的	伊利亚	武斷的	伊萊	Marshall	
务实的	埃利奥特	務實的	伊利亞	Martin	
希望的	埃利斯	希望的	伊里亞德	Marvin	
喜爱的	埃尔默	喜愛的	艾理斯	Matt	
细节的	埃尔罗伊	細節的	埃爾默	Matthew	
鲜嫩的	埃尔顿	鮮嫩的	愛羅伊	Maurice	
潇洒的	埃尔维斯	瀟灑的	愛爾頓	Max	
小巧的	艾曼纽	小巧的	艾維斯	Maximilian	
欣慰的	伊诺克	欣慰的	艾曼紐	Maxwell	
欣喜的	艾瑞克	欣喜的	伊諾克	Meredith	
大眼的	欧内斯特	大眼的	艾瑞克	Merle	
醒目的	尤金	醒目的	歐尼斯特	Merlin	
兴奋的	埃文	興奮的	尤金	Michael	
杏眼的	艾弗利	杏眼的	埃文	Michell	
幸福的	弗宾恩	幸福的	艾弗利	Mick	
修长的	菲尼克斯	修長的	弗賓恩	Mike	
羞涩的	费迪南	羞澀的	費尼克斯	Miles	
秀丽的	费奇	秀麗的	費迪南	Milo	
秀目的	福特	秀目的	費奇	Monroe	
雪白的	弗朗西斯	雪白的	福特	Montague	
严肃的	法兰克	嚴肅的	法蘭西斯	Moore	
洋气的	费德里科	洋氣的	法蘭克	Morgan	
毅力的	加布里尔	毅力的	佛蘭克林	Mortimer	
英俊的	加尔	英俊的	費德里科	Morton	
勇敢的	加里	勇敢的	加布里爾	Moses	
优美的	嘉文	優美的	加爾	Murphy	
优秀的	吉恩	優秀的	加里	Murray	
幽默的	杰弗里	幽默的	嘉文	Myron	
悠然的	杰夫	悠然的	吉恩	Nat	
友爱的	乔治	友愛的	傑佛瑞	Nathan	
友好的	杰拉尔德	友好的	傑夫	Nathaniel	
友善的	吉尔伯特	友善的	喬治	Neil	
有趣的	加尔斯	有趣的	吉羅德	Nelson	
坚韧的	格列	堅韌的	吉伯特	Newman	
愉快的	戈达德	愉快的	加爾斯	Nicholas	
郁忧的	戈德弗里	鬱憂的	格列	Nick	
匀称的	戈登	勻稱的	戈達德	Nigel	
赞许的	格瑞格	贊許的	戈德弗裡	Noah	
真诚的	格雷戈里	真誠的	戈登	Noel	
整洁的	格里菲斯	整潔的	格瑞格	Norman	
整齐的	格罗弗	整齊的	葛列格里	Norton	
知足的	古斯塔夫	知足的	格里菲斯	Ogden	
执著的	盖伊	執著的	格羅弗	Oliver	
稚气的	霍尔	稚氣的	古斯塔夫	Omar	
忠诚的	哈利	忠誠的	蓋伊	Orville	
忠心的	汉密尔顿	忠心的	霍爾	Osborn	
有序的	哈迪	有序的	哈利	Oscar	
主观的	哈伦	主觀的	漢密爾頓	Osmond	
壮观的	哈罗德	壯觀的	哈迪	Oswald	
自立的	哈里特	自立的	哈倫	Otis	
自信的	哈里	自信的	哈樂德	Otto	
尊敬的	哈维	尊敬的	哈裡特	Owen	
保守的	海登	保守的	哈裡	Page	
笔直的	希瑟	筆直的	哈威	Parker	
天枢星的	亨利	天樞星的	海頓	Paddy	
天璇星的	赫伯特	天璿星的	希瑟	Patrick	
天玑星的	赫尔曼	天璣星的	亨利	Paul	
天权星的	希拉里	天權星的	赫伯特	Philip	
玉衡星的	海勒姆	玉衡星的	赫爾曼	Porter	
开阳星的	霍巴特	開陽星的	希拉蕊	Prescott	
摇光星的	霍根	搖光星的	海勒姆	Primo	
太阳星的	贺拉斯	太陽星的	霍巴特	Quentin	
太阴星的	霍沃	太陰星的	霍根	Quennel	
辰星的	休博瑞	辰星的	賀拉斯	Quincy	
太白星的	米修	太白星的	霍沃	Quinn	
荧惑星的	雨果	熒惑星的	休博瑞	Quintion	
岁星的	汉弗莱	歲星的	米修	Rachel	
镇星的	亨特	鎮星的	雨果	Ralap	
罗睺星的	海曼	羅睺星的	韓弗理	Reuben	
劫火星的	伊恩	劫火星的	亨特	Rex	
计都星的	英格玛	計都星的	海曼	Richard	
紫气星的	英格拉姆	紫氣星的	伊恩	Robert	
紫微星的	艾勒	紫微星的	英格瑪	Robin	
天机星的	艾萨克	天機星的	英格拉姆	Rock	
武曲星的	伊西多尔	武曲星的	艾勒	Rod	
天同星的	伊万	天同星的	以撒	Roderick	
廉贞星的	艾夫斯	廉貞星的	伊西多爾	Rodney	
天府星的	杰克	天府星的	伊萬	Rudolf	
贪狼星的	雅各布	貪狼星的	艾夫斯	Rupert	
巨门星的	詹姆斯	巨門星的	傑克	Ryan	
天相星的	贾里德	天相星的	雅各	Sam	
天梁星的	詹森	天梁星的	詹姆斯	Sampson	
七杀星的	杰伊	七殺星的	傑瑞德	Sandy	
破军星的	杰西	破軍星的	詹森	Saxon	
禄存星的	吉姆	祿存星的	傑伊	Scott	
天马星的	乔	天馬星的	傑西	Sean	
左辅星的	约翰	左輔星的	吉姆	Sebastian	
右弼星的	乔纳斯	右弼星的	喬	Sid	
文昌星的	乔纳森	文昌星的	約翰	Sidney	
文曲星的	约瑟夫	文曲星的	約拿斯	Silvester	
天魁星的	乔舒亚	天魁星的	喬納森	Simon	
天钺星的	乔伊斯	天鉞星的	約瑟夫	Stan	
火星的	朱利安	火星的	約書亞	Stanford	
铃星的	朱利叶斯	鈴星的	喬伊絲	Stanley	
擎羊星的	贾斯汀	擎羊星的	朱利安	Steven	
陀罗星的	基斯	陀羅星的	朱利斯	Stev	
天空星的	凯利	天空星的	賈斯汀	Steward	
地劫星的	肯恩	地劫星的	基斯	Tab	
太阳的	肯尼迪	太陽的	凱利	Taylor	
月亮的	肯尼斯	月亮的	肯恩	Ted	
木星的	肯特	木星的	甘迺迪	Ternence	
金星的	克尔	金星的	肯尼斯	Theobald	
水星的	克尔温	水星的	肯特	Theodore	
土星的	凯文	土星的	克爾	Thomas	
天王星的	金	天王星的	克爾溫	Tiffany	
海王星的	柯克	海王星的	凱文	Tim	
冥王星的	兰伯特	冥王星的	金	Timothy	
地球的	兰斯	地球的	柯克	Tobias	
比邻星的	拉里	比鄰星的	蘭伯特	Toby	
天狼星的	劳伦斯	天狼星的	蘭斯	Todd	
牛郎星的	列夫	牛郎星的	拉裡	Tom	
织女星的	莱恩	織女星的	勞倫斯	Tony	
谷神星的	伦农	穀神星的	列夫	Troy	
小熊座的	里奥	小熊座的	萊恩	Tyler	
大熊座的	伦纳德	大熊座的	藍儂	Tyrone	
仙后座的	利奥波德	仙后座的	裡奧	Ulysses	
天龙座的	勒斯	天龍座的	倫納德	Upton	
仙王座的	莱斯特	仙王座的	利奧波德	Uriah	
蝎虎座的	利维	蠍虎座的	勒斯	Valentine	
仙女座的	刘易斯	仙女座的	萊斯特	Valentine	
鹿豹座的	莱昂内尔	鹿豹座的	利維	Vic	
御夫座的	卢	禦夫座的	路易斯	Victor	
猎犬座的	路易斯	獵犬座的	萊昂內爾	Vincent	
狐狸座的	卢西恩	狐狸座的	盧	Virgil	
天鹅座的	卢瑟	天鵝座的	路易士	Vito	
小狮座的	莱尔	小獅座的	盧西恩	Vivian	
英仙座的	林登	英仙座的	盧瑟	Walter	
牧夫座的	林恩	牧夫座的	賴爾	Ward	
武仙座的	麦基	武仙座的	林登	Warner	
后发座的	马尔科姆	後發座的	林恩	Wayne	
北冕座的	曼德尔	北冕座的	麥基	Webb	
天猫座的	马库斯	天貓座的	瑪律科姆	Webster	
天琴座的	马利克	天琴座的	曼德爾	Wendell	
海豚座的	马克	海豚座的	馬庫斯	Werner	
飞马座的	马龙	飛馬座的	馬利克	Wilbur	
三角座的	玛希	三角座的	馬克	Will	
天箭座的	马歇尔	天箭座的	馬龍	William	
巨蟹座的	马丁	巨蟹座的	瑪希	Willie	
白羊座的	马文	白羊座的	馬歇爾	Winfred	
双子座的	迈特	雙子座的	馬丁	Winston	
宝瓶座的	马修	寶瓶座的	馬文	Wright	
室女座的	莫里斯	室女座的	邁特	Wythe	
狮子座的	马克希尔	獅子座的	馬修	Yale	
金牛座的	麦克斯韦	金牛座的	莫里斯	York	
双鱼座的	梅雷迪恩	雙魚座的	馬克希爾	Yves	
摩羯座的	默尔	摩羯座的	麥克斯韋		
天蝎座的	梅林	天蠍座的	梅雷迪恩		
天秤座的	迈克尔	天秤座的	默爾		
人马座的	米克	人馬座的	梅林		
小马座的	麦克	小馬座的	邁克爾		
小犬座的	迈尔斯	小犬座的	米克		
天鹰座的	米卢	天鷹座的	麥克		
蛇夫座的	门罗	蛇夫座的	邁爾斯		
巨蛇座的	蒙塔古	巨蛇座的	米盧		
长蛇座的	穆尔	長蛇座的	門羅		
麒麟座的	摩根	麒麟座的	蒙塔古		
猎户座的	莫蒂默	獵戶座的	莫爾		
鲸鱼座的	莫顿	鯨魚座的	摩根		
天坛座的	摩西	天壇座的	莫蒂默		
绘架座的	马菲	繪架座的	莫頓		
山案座的	默里	山案座的	摩西		
天燕座的	麦伦	天燕座的	馬菲		
飞鱼座的	奈特	飛魚座的	默里		
矩尺座的	内森	矩尺座的	麥倫		
剑鱼座的	纳撒尼尔	劍魚座的	奈特		
时钟座的	尼尔	時鐘座的	南森		
杜鹃座的	尼尔森	杜鵑座的	納旦尼爾		
圆规座的	纽曼	圓規座的	尼爾		
蝘蜓座的	尼古拉斯	蝘蜓座的	尼爾森		
水蛇座的	尼克	水蛇座的	紐曼		
凤凰座的	奈杰尔	鳳凰座的	尼古拉斯		
孔雀座的	诺亚	孔雀座的	尼克		
南极座的	诺埃尔	南極座的	奈傑爾		
天鹤座的	诺曼	天鶴座的	諾亞		
南冕座的	诺顿	南冕座的	諾埃爾		
大犬座的	奥格登	大犬座的	諾曼		
天鸽座的	奥利弗	天鴿座的	諾頓		
乌鸦座的	奥维尔	烏鴉座的	奧格登		
南鱼座的	奥斯本	南魚座的	奧馬爾		
天兔座的	奥斯卡	天兔座的	奧維爾		
船尾座的	奥斯蒙德	船尾座的	奧斯本		
罗盘座的	奥斯瓦德	羅盤座的	奧斯卡		
船帆座的	奥蒂斯	船帆座的	奧斯蒙德		
玉夫座的	奥托	玉夫座的	奧斯瓦德		
波江座的	欧文	波江座的	奧提斯		
盾牌座的	佩吉	盾牌座的	奧托		
天炉座的	帕克	天爐座的	歐文		
雕具座的	佩蒂	雕具座的	佩吉		
巨爵座的	帕特里克	巨爵座的	派克		
爱笑de	保罗	愛笑de	佩蒂		
有爱de	佩恩	有愛de	派翠克		
安静de	培瑞	安靜de	保羅		
安详de	皮特	安詳de	佩恩		
昂贵de	彼得	昂貴de	培瑞		
傲慢de	菲尔	傲慢de	皮特		
胖乎乎de	菲利普	胖乎乎de	彼得		
标致de	波特	標緻de	菲爾		
博学de	普莱默	博學de	菲力浦		
不凡de	昆廷	不凡de	波特		
高挑de	昆内尔	高挑de	普萊默		
合群de	昆西	合群de	昆廷		
宽容de	奎因	寬容de	昆內爾		
灵活de	金迪安	靈活de	昆西		
喜悦de	雷切尔	喜悅de	奎因		
不满de	雷尔福	不滿de	金迪安		
愤怒de	兰多夫	憤怒de	瑞吉兒		
粗心de	雷蒙德	粗心de	雷爾福		
多疑de	雷吉	多疑de	蘭多夫		
冷静de	雷金纳德	冷靜de	雷蒙德		
沉著de	雷本	沉著de	雷吉		
乐观de	雷克斯	樂觀de	雷根		
成熟de	理查德	成熟de	雷金納德		
迟疑de	罗伯特	遲疑de	雷本		
冲动de	罗宾	衝動de	雷克斯		
纯洁de	洛克	純潔de	理查		
纯真de	罗德	純真de	羅伯特		
慈祥de	罗德里克	慈祥de	羅賓		
聪明de	罗德尼	聰明de	洛克		
从容de	罗恩	從容de	羅德		
鲁莽de	罗纳德	魯莽de	羅德里克		
脆弱de	罗里	脆弱de	羅德尼		
大方de	罗伊	大方de	羅恩		
单纯de	鲁道夫	單純de	羅奈爾得		
胆怯de	鲁伯特	膽怯de	羅裡		
胆小de	莱安	膽小de	羅伊		
淡定de	山姆	淡定de	魯道夫		
得意de	辛普森	得意de	魯伯特		
典雅de	塞缪尔	典雅de	萊安		
懂事de	桑迪	懂事de	山姆		
动人de	撒克逊	動人de	辛普森		
独立de	斯科特	獨立de	撒母耳		
端庄de	肖恩	端莊de	桑迪		
愤慨de	希德	憤慨de	撒克遜		
疲倦de	西德尼	疲倦de	斯科特		
乏味de	希维斯特	乏味de	肖恩		
不羁de	西蒙	不羈de	希德		
稚嫩de	所罗门	稚嫩de	西德尼		
优雅de	斯宾塞	優雅de	希維斯特		
风趣de	斯坦	風趣de	西蒙		
福态de	斯坦福	福態de	所羅門		
自负de	斯坦利	自負de	斯賓塞		
土豪de	史蒂文	土豪de	斯坦		
感恩de	史蒂夫	感恩de	斯坦福		
干净de	史都华德	乾淨de	斯坦利		
高兴de	泰伯	高興de	史蒂文		
高雅de	泰勒	高雅de	史蒂夫		
耿直de	泰德	耿直de	史都華德		
孤独de	特伦斯	孤獨de	泰伯		
固定de	西奥博德	固定de	泰勒		
固执de	西奥多	固執de	泰德		
乖巧de	托马斯	乖巧de	特倫斯		
果断de	蒂芙尼	果斷de	西奧博多		
害羞de	蒂姆	害羞de	希歐多爾		
含蓄de	蒂姆斯	含蓄de	湯瑪斯		
豪放de	托拜厄斯	豪放de	蒂芙尼		
豪爽de	托比	豪爽de	蒂姆		
好奇de	托德	好奇de	蒂姆斯		
和平de	汤姆	和平de	托拜西		
和气de	托尼	和氣de	托比		
和谐de	特雷西	和諧de	陶德		
红润de	特洛伊	紅潤de	湯姆		
欢快de	迪龙	歡快de	托尼		
欢乐de	尤利西斯	歡樂de	特雷西		
欢腾de	安普顿	歡騰de	特洛伊		
欢喜de	尤莱亚	歡喜de	杜魯門		
欢欣de	瓦伦丁	歡欣de	迪龍		
豁达de	维恩	豁達de	尤利西斯		
活泼de	维克	活潑de	安普頓		
敏捷de	维克托	敏捷de	尤萊亞		
机智de	文森特	機智de	瓦倫丁		
积极de	维吉尔	積極de	威恩		
激动de	维托	激動de	維克		
坚定de	维维安	堅定de	維克托		
坚强de	韦德	堅強de	文森特		
简单de	沃克	簡單de	維吉爾		
简洁de	沃尔特	簡潔de	維托		
强壮de	沃德	強壯de	衛維恩		
娇柔de	华纳	嬌柔de	韋德		
聪颖de	韦恩	聰穎de	沃克		
结实de	维布	結實de	沃爾特		
谨慎de	韦伯斯特	謹慎de	沃德		
惊讶de	温德尔	驚訝de	華納		
倔强de	沃纳	倔強de	韋恩		
俊朗de	威尔伯	俊朗de	維布		
开朗de	威尔	開朗de	韋伯斯特		
开心de	威廉	開心de	溫德爾		
可爱de	威利	可愛de	沃納		
可亲de	温弗雷德	可親de	威爾伯		
快乐de	温斯顿	快樂de	威爾		
快忧de	伍德罗	快憂de	威廉		
老实de	沃兹沃斯	老實de	威利		
冷淡de	怀特	冷淡de	溫弗雷德		
冷漠de	维斯	冷漠de	溫斯頓		
玲珑de	赛维尔	玲瓏de	伍德羅		
率直de	耶鲁	率直de	沃茲沃斯		
满足de	耶乎迪	滿足de	維斯		
美丽de	约克	美麗de	賽維爾		
美满de	依福斯	美滿de	耶魯		
美目de	扎克利	美目de	耶乎迪		
魅力de	张伯伦	魅力de	約克		
迷人de	泽夫	迷人de	依福斯		
腼腆de		靦腆de	紮克利		
明快de		明快de	張伯倫		
明亮de		明亮de			
明确de		明確de			
耐心de		耐心de			
内向de		內向de			
年轻de		年輕de			
努力de		努力de			
漂亮de		漂亮de			
平淡de		平淡de			
平等de		平等de			
平和de		平和de			
天仙de		天仙de			
俏丽de		俏麗de			
勤劳de		勤勞de			
轻率de		輕率de			
轻松de		輕鬆de			
清楚de		清楚de			
清净de		清淨de			
热情de		熱情de			
任性de		任性de			
大度de		大度de			
柔弱de		柔弱de			
善变de		善變de			
善良de		善良de			
舒服de		舒服de			
舒心de		舒心de			
爽朗de		爽朗de			
顺从de		順從de			
顺服de		順服de			
通俗de		通俗de			
随和de		隨和de			
坦率de		坦率de			
坦然de		坦然de			
沉醉de		沉醉de			
淘气de		淘氣de			
体贴de		體貼de			
天真de		天真de			
甜美de		甜美de			
甜蜜de		甜蜜de			
调皮de		調皮de			
正直de		正直de			
团结de		團結de			
外向de		外向de			
顽皮de		頑皮de			
伟大de		偉大de			
温和de		溫和de			
温暖de		溫暖de			
温柔de		溫柔de			
温润de		溫潤de			
文静de		文靜de			
文雅de		文雅de			
稳重de		穩重de			
自在de		自在de			
无畏de		無畏de			
无邪de		無邪de			
妩媚de		嫵媚de			
武断de		武斷de			
务实de		務實de			
希望de		希望de			
喜爱de		喜愛de			
细节de		細節de			
鲜嫩de		鮮嫩de			
潇洒de		瀟灑de			
小巧de		小巧de			
欣慰de		欣慰de			
欣喜de		欣喜de			
大眼de		大眼de			
醒目de		醒目de			
兴奋de		興奮de			
杏眼de		杏眼de			
幸福de		幸福de			
修长de		修長de			
羞涩de		羞澀de			
秀丽de		秀麗de			
秀目de		秀目de			
雪白de		雪白de			
严肃de		嚴肅de			
洋气de		洋氣de			
毅力de		毅力de			
英俊de		英俊de			
勇敢de		勇敢de			
优美de		優美de			
优秀de		優秀de			
幽默de		幽默de			
悠然de		悠然de			
友爱de		友愛de			
友好de		友好de			
友善de		友善de			
有趣de		有趣de			
坚韧de		堅韌de			
愉快de		愉快de			
郁忧de		鬱憂de			
匀称de		勻稱de			
赞许de		贊許de			
真诚de		真誠de			
整洁de		整潔de			
整齐de		整齊de			
知足de		知足de			
执著de		執著de			
稚气de		稚氣de			
忠诚de		忠誠de			
忠心de		忠心de			
有序de		有序de			
主观de		主觀de			
壮观de		壯觀de			
自立de		自立de			
自信de		自信de			
尊敬de		尊敬de			
保守de		保守de			
笔直de		筆直de			
天枢星de		天樞星de			
天璇星de		天璿星de			
